"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_941"	"Cell_941"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_943"	"Cell_943"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_948"	"Cell_948"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_951"	"Cell_951"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_953"	"Cell_953"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_955"	"Cell_955"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_961"	"Cell_961"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_963"	"Cell_963"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_964"	"Cell_964"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_965"	"Cell_965"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_966"	"Cell_966"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_968"	"Cell_968"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_97"	"Cell_97"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_976"	"Cell_976"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_978"	"Cell_978"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_986"	"Cell_986"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_99"	"Cell_99"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_994"	"Cell_994"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_997"	"Cell_997"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_998"	"Cell_998"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_1"	"Cell_1"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_10"	"Cell_10"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_104"	"Cell_104"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_111"	"Cell_111"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_137"	"Cell_137"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_138"	"Cell_138"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_160"	"Cell_160"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_175"	"Cell_175"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_182"	"Cell_182"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_185"	"Cell_185"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_208"	"Cell_208"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_21"	"Cell_21"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_211"	"Cell_211"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_214"	"Cell_214"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_215"	"Cell_215"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_221"	"Cell_221"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_227"	"Cell_227"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_242"	"Cell_242"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_243"	"Cell_243"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_248"	"Cell_248"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_250"	"Cell_250"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_258"	"Cell_258"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_265"	"Cell_265"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_275"	"Cell_275"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_28"	"Cell_28"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_284"	"Cell_284"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_295"	"Cell_295"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_305"	"Cell_305"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_317"	"Cell_317"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_333"	"Cell_333"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_336"	"Cell_336"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_362"	"Cell_362"	"S02"	"IS01"	"B.cells"	"Tumor"
