"ID"	"State"	"InitialState"
"Cell_278"	"S03"	"IS03"
"Cell_290"	"S03"	"IS03"
"Cell_292"	"S03"	"IS03"
"Cell_296"	"S03"	"IS03"
"Cell_298"	"S03"	"IS03"
"Cell_300"	"S03"	"IS03"
"Cell_302"	"S03"	"IS03"
"Cell_307"	"S03"	"IS03"
"Cell_314"	"S03"	"IS03"
"Cell_327"	"S03"	"IS03"
"Cell_337"	"S03"	"IS03"
"Cell_340"	"S03"	"IS03"
"Cell_342"	"S03"	"IS03"
"Cell_343"	"S03"	"IS03"
"Cell_345"	"S03"	"IS03"
"Cell_364"	"S03"	"IS03"
"Cell_368"	"S03"	"IS03"
"Cell_376"	"S03"	"IS03"
"Cell_378"	"S03"	"IS03"
"Cell_398"	"S03"	"IS03"
"Cell_400"	"S03"	"IS03"
"Cell_401"	"S03"	"IS03"
"Cell_412"	"S03"	"IS03"
"Cell_415"	"S03"	"IS03"
"Cell_419"	"S03"	"IS03"
"Cell_424"	"S03"	"IS03"
"Cell_433"	"S03"	"IS03"
"Cell_442"	"S03"	"IS03"
"Cell_454"	"S03"	"IS03"
"Cell_459"	"S03"	"IS03"
"Cell_464"	"S03"	"IS03"
"Cell_469"	"S03"	"IS03"
"Cell_470"	"S03"	"IS03"
"Cell_472"	"S03"	"IS03"
"Cell_495"	"S03"	"IS03"
"Cell_515"	"S03"	"IS03"
"Cell_519"	"S03"	"IS03"
"Cell_521"	"S03"	"IS03"
"Cell_545"	"S03"	"IS03"
"Cell_562"	"S03"	"IS03"
"Cell_564"	"S03"	"IS03"
"Cell_584"	"S03"	"IS03"
"Cell_586"	"S03"	"IS03"
"Cell_589"	"S03"	"IS03"
"Cell_594"	"S03"	"IS03"
"Cell_603"	"S03"	"IS03"
"Cell_606"	"S03"	"IS03"
"Cell_617"	"S03"	"IS03"
"Cell_627"	"S03"	"IS03"
"Cell_630"	"S03"	"IS03"
"Cell_640"	"S03"	"IS03"
"Cell_662"	"S03"	"IS03"
