"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"
"ADORA3"	"ADORA3"	1.02893839993256	0.128566382882178	0.0771768287769295	0.257142058571114	-0.308828787201737	-0.559774282648987	-0.411093745210423	-0.116737746971294	0.609732911913857	-0.252381958233269	0.25208752823719	-0.399329274653175	"IS01"	1.02893839993256
"PTGDR"	"PTGDR"	1.02345923253669	0.234656695440695	-0.00365796309537126	-0.191702706712519	-0.0915230122429701	-0.506644944870918	-0.366171716440727	-0.100803233705814	0.387262892404664	-0.211928582760943	0.608413108908359	-0.517556646468991	"IS01"	1.02345923253669
"MS4A7"	"MS4A7"	0.96825204097857	0.273733660849322	0.159242810309987	0.111110841889386	-0.300330136656372	-0.642785788500679	-0.535464391151907	0.0215494956652956	0.503509121519877	-0.331902269814922	0.643298772398798	-0.629391585018534	"IS01"	0.96825204097857
"MMP9"	"MMP9"	0.96763447127574	-0.0395645301274877	-0.129105211855333	-0.0686438267613908	0.507798024303668	-0.314923482430626	-0.0566787687079178	-0.142473267636705	0.690648544526894	-0.00717827981390419	-0.587097690221562	-1.16264015431652	"IS01"	0.96763447127574
"MYO7A"	"MYO7A"	0.948106318485943	-0.0532706796866841	0.0396618120483015	-0.343425577534148	-0.0640014923919109	-0.186677064273465	-0.187241213075781	0.358730026472025	-0.0813739624113008	0.213462448654765	-0.158617286198227	-0.261570303859243	"IS01"	0.948106318485943
"ANKRD33B"	"ANKRD33B"	0.929466804666086	0.339412034139929	0.0548449944940803	-0.399844975295591	0.409673002281058	-0.501517120459697	-0.56274405090635	-0.278779814027138	0.0160503958356012	0.0117935057886577	0.90621458455261	-0.277156538137015	"IS01"	0.929466804666086
"CCL22"	"CCL22"	0.927535586160011	0.140349107145084	-0.0188217546408307	-0.046207559835685	0.00627668830291171	-0.342886592650112	-0.211705843280178	-0.0423104499523929	0.436921566828421	-0.235804878871997	-0.0596590013577997	-0.324359647316243	"IS01"	0.927535586160011
"IL24"	"IL24"	0.915889108954398	-0.107815912612799	-0.0319525751380546	-0.110780820844242	0.402499584134918	-0.260089993581319	-0.179052507732478	-0.104566050168891	0.116251222934389	-0.123484556130888	-0.128915764993456	-0.371178804335294	"IS01"	0.915889108954398
"FXYD7"	"FXYD7"	0.911195554274421	0.0502729494747162	-0.241021488487456	-0.312551494263494	0.02284596038192	-0.442255842662521	-0.0294426250067439	0.0291220969286211	-0.0745027536646998	0.690305066645382	0.271856944560246	-0.325359554895422	"IS01"	0.911195554274421
"ZNF804A"	"ZNF804A"	0.861134346486476	0.063724853621445	0.211890230622919	-0.138432684993688	-0.0802646992668487	-0.438717877829321	-0.437517216138387	-0.182295331770492	0.11796123580714	0.583311685132279	0.363338316804865	-0.353366394745648	"IS01"	0.861134346486476
"CCL3L3"	"CCL3L3"	0.851635239875554	0.0902674824578352	-0.117562191936684	-0.0455292669530294	0.0659324138076236	-0.34725917426195	0.00202213533006038	-0.10724051771203	0.317415013726322	-0.0984866010996154	-0.0559153993848711	-0.507296765559228	"IS01"	0.851635239875554
"HRH2"	"HRH2"	0.850159212795931	0.483292924234799	0.189530056057419	-0.113396667009114	0.216478704384516	-0.618666877920339	-0.694389199198762	-0.236810571010754	0.545655302191068	0.184110879557828	0.49908219917861	-0.480714731525104	"IS01"	0.850159212795931
"MS4A14"	"MS4A14"	0.832967926179321	0.141002295025866	-0.0522211236083364	-0.225773155568537	-0.218474706125729	-0.425968664749114	-0.27327923510543	0.243261190787965	0.437587424039965	-0.289285876333124	0.340646423184718	-0.280201248005116	"IS01"	0.832967926179321
"C3"	"C3"	0.803705447295665	0.120045801729424	-0.420683426662167	-0.146250631633609	-0.176110834180458	-0.636922044044428	0.276677943250445	0.0508770382095191	0.277789069783807	-0.558684844089143	0.709239116983776	-0.380017641407223	"IS01"	0.803705447295665
"PHF11"	"PHF11"	0.741718201537607	-0.120367762326131	0.139057802382584	-0.395343837278628	-0.280993480278156	-0.338760973536487	-0.196630999465845	0.63025085121278	0.0821191888054109	-0.529618510340303	0.275867474095079	-0.100156387461861	"IS01"	0.741718201537607
"LGI2"	"LGI2"	0.704217924811721	0.198525427354484	0.176086699284508	-0.176391106509331	-0.120877465566138	-0.577858813681693	-0.509055813239579	-0.20923912464005	0.584777313594567	0.547384164354481	0.560293041179801	-0.663292393695871	"IS01"	0.704217924811721
"PLEKHF1"	"PLEKHF1"	0.682081366907375	0.272149950520698	-0.360648314235207	-0.303756224078666	0.438630808925889	-0.393274517124016	0.0609396751809277	0.0443548513090899	0.172470835044825	-0.153909116162934	0.144977659709228	-0.322282634362886	"IS01"	0.682081366907375
"CTRL"	"CTRL"	0.649915449282083	-0.0160712487202984	-0.26215904012449	-0.488490183915935	0.202291000896827	-0.0610103782481832	0.0898634435450775	0.390600307582466	-0.238034899696447	0.0932808432019057	-0.0829833300701506	-0.277545671263373	"IS01"	0.649915449282083
"TGM2"	"TGM2"	0.597899383087555	0.110950049937311	-0.039268809244034	-0.132631207004681	0.277795930450396	-0.312448864794607	-0.297818250631071	-0.163647363098141	0.340224545837788	-0.293153403067834	0.408356361971957	-0.559119346995047	"IS01"	0.597899383087555
"TBC1D22A"	"TBC1D22A"	0.575787714484491	0.10370993071628	0.248450819073721	-0.128266367462834	0.213434082561292	-0.229802274758718	-0.666027676874918	0.19883869144524	0.200008101989963	-0.0909007865893578	0.135093419179522	-0.266659640766594	"IS01"	0.575787714484491
"EMP3"	"EMP3"	0.551929736632349	-0.0183722689537447	-0.393158806303107	-0.384183544671139	0.275270573021671	-0.189556246361182	0.0444855802363397	-0.391208677043959	0.42976414844381	-0.236529168373314	0.532995361644736	-0.387348636143405	"IS01"	0.551929736632349
"MDGA1"	"MDGA1"	0.522034609862955	-0.158106873982815	0.141499054657884	-0.283901174881758	-0.0861575263728789	-0.391080588110268	-0.459848189259974	0.136622305260095	0.457948900906189	0.270366936214125	0.365877775475532	-0.26404933524825	"IS01"	0.522034609862955
"C4B"	"C4B"	0.479329689452367	0.160680551865009	-0.177966274860203	-0.15602850941654	-0.399770075186597	-0.375970010732501	0.160946911248124	0.340056820872287	0.208571662795678	-0.275462499325077	0.319417119575838	-0.310778053760378	"IS01"	0.479329689452367
"C4A"	"C4A"	0.451542482946564	0.192910444461041	-0.180369814987101	-0.161929365857447	-0.394897695345054	-0.360922168083451	0.167852085109966	0.328807930258939	0.211921285930192	-0.257363201782613	0.307318028415044	-0.312288274994357	"IS01"	0.451542482946564
"STAR"	"STAR"	0.447190172831206	-0.216043107229536	-0.0413346393271612	-0.13383354541144	0.208859394402853	-0.107850283093312	-0.189545302862954	0.0682884926063684	-0.105766325643475	0.136360056309004	-0.0370121759453457	0.298972531724303	"IS01"	0.447190172831206
"MGAT2"	"MGAT2"	0.438913537427433	0.185185400856831	0.429646282731643	0.0299448201118458	0.336873694956599	-0.0987353307862187	-1.09992448908274	0.142159036317079	0.376349294643734	0.203444825620129	-0.0548578877615381	-0.42893457675953	"IS01"	0.438913537427433
"PGLYRP2"	"PGLYRP2"	0.437441300781146	-0.101772425004868	0.0610242446923997	-0.0848561053770645	-0.226592453734903	-0.162389554856888	-0.0927332321474459	0.215109789369155	0.034581897484397	0.277578197854796	-0.0762309504037167	-0.139233264113081	"IS01"	0.437441300781146
"C19orf35"	"C19orf35"	0.361100112195823	-0.055036462100042	-0.0655955487931785	-0.0765452368077701	-0.0644541390728613	-0.0871321597367007	-0.0733261117649879	0.000925091707995992	0.0807892020594064	-0.0825976865191183	0.12646565516616	-0.0310400663962452	"IS01"	0.361100112195823
"CHMP4A"	"CHMP4A"	0.327384601756745	-0.0334397514349925	0.04207652629549	-0.0996909552254087	-0.0812267933352063	0.00403717131113687	-0.0608404865410958	0.200964559277161	-0.000838539221328664	-0.114421104242593	-0.0832599805857585	-0.333351172147738	"IS01"	0.327384601756745
"GLYATL2"	"GLYATL2"	0.162070409476934	-0.096900946837021	0.109537983321895	0.0370734713594516	-0.0478544538368387	-0.244423170863237	-0.196769778456359	0.117096835234675	0.0989773217856209	0.161082557151957	0.11590853688235	-0.0542644625352156	"IS01"	0.162070409476934
"OR5M1"	"OR5M1"	0	0	0	0	0	0	0	0	0	0	0	0	"IS01"	0
"UNC45B"	"UNC45B"	-0.0863737536373465	3.14357481877413	-0.141906724251775	-0.147609891048509	-0.0902403075075189	-0.18210993360444	-0.147368960076695	-0.137496319529212	-0.0462332299029248	-0.0322816359332635	0.433749842789719	-0.12947361406518	"IS02"	3.14357481877413
