"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072805"	"MS2010072902"	"MS2010072925"	"MS2010072930"	"MS2010072004"	"MS2010072828"	"MS2010072835"	"MS2010072912"	"MS2010072937"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"MS2010072024"	"MS2010072037"	"MS2010072040"	"MS2010072834"	"MS2010072932"
"SCN9A"	5.87385228574508	5.04732819976367	5.36097159776596	5.12537773492923	5.17613403631379	7.540078024704	5.73553541253531	5.35353575970278	2.52253785851737	5.35705423080141	3.87643026413325	4.94425001514095	3.0711019614458	2.7813946369717	5.04197901752661	4.73581847007034	5.10294379386654
"PRKAR2A"	9.98425354975437	9.95579594390351	8.87357932725483	9.93335640711605	9.55965178433198	9.72512153438608	10.1453974136256	9.60717214168924	9.48251507527211	9.97036008427161	10.103734485616	9.83780027754172	9.68182408149866	9.06681862289138	8.95114602953834	10.1956017648861	9.81698373198385
"CCR3"	2.56762806471447	2.57658844900889	4.22647455273828	1.69255726253238	6.26178571947998	8.4760479973864	2.9944238632487	5.61045670633845	5.40673838649069	1.67334765077117	3.5893625245758	2.06030607808565	2.54852721410905	1.99899079366283	5.37461394593814	5.54119271125226	4.17603698445252
"SLC16A6"	9.67612254522691	8.95329399675021	9.30269770349107	9.84224685065808	9.96980150057368	9.92378232264388	9.5092204423141	9.3006880570768	8.61210609228333	9.48863187118253	10.0999501139325	10.7204326261096	9.68783621344224	8.46053558100692	9.42491099483303	10.583561301108	9.26019636422493
"PCDH11Y"	4.82170188700598	1.72087349054595	4.32016840192425	4.49805385684885	5.8898598071766	7.19394828103552	5.91797562643381	0.797720445485571	3.87047368152848	3.89158775435216	6.2846757231567	4.64876408332612	4.35857132618265	4.07510628417299	3.91984211987068	3.25386757542288	6.10121558031035
"LOC375010"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SALL2"	8.10539415177955	7.49976625869285	7.65070410699478	7.47683439030133	6.82061288446222	7.77489422539178	7.14566094770455	8.10312234418127	5.33205308808181	6.52210594302733	3.01427329103989	7.87120631074913	5.73038942160187	7.47386311088604	6.28550079940132	4.07389016703202	4.12385127132063
"DISP2"	4.70270265848993	6.297456401028	3.42599209674455	5.08236766169536	3.07826448872578	7.76012878204969	6.36639510060145	2.38214641817812	3.79430568541939	2.66119021304143	3.59880240759294	3.64270926417627	5.74324540080871	5.84359766534419	5.12723774053983	3.91396020519339	5.92112834136511
"SEC16B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC647946"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACCN2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
