"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"WNT1"	"WNT1"	0.0823154215305218	0.12647333850401	-0.202532942056461	0.297963734431004	0.338603571002002	0.0447487839958672	0.990809790269292	-0.0244371773836394	0.205374635675411	-0.384181557056754	-0.432239739416788	-0.126191428518986	-0.0292952882328038	0.319677245941921	"S01"	0.990809790269292	"IS07"
"VNN2"	"VNN2"	-0.0280658223077536	-0.117441864737137	0.0636119177058899	-0.240428249351594	-0.186914662967133	0.552381196416369	0.904801800347027	0.185700019403647	0.767511865517043	-0.317410930652021	-0.578325537188237	-0.000266695477319282	-0.0686610671798297	-0.0666101823940324	"S01"	0.904801800347027	"IS07"
"GCSAM"	"GCSAM"	-0.000432940262647966	0.0230420432484016	-0.0874443770462416	-0.144875016189337	-0.0351052180647487	0.00545954321086562	0.894735057940084	0.0170375723135251	0.153643534159942	-0.377497893336448	-0.230046897086621	-0.122814280450727	0.120487686176224	0.346031450442951	"S01"	0.894735057940084	"IS07"
"MC4R"	"MC4R"	-0.072151163623958	0.291786862942418	-0.167205614843682	0.28876612888054	0.520517503730392	-0.00691379109860897	0.834046146449451	-0.0793771978935704	-0.117590371357001	-0.298957599953933	-0.320598322307913	0.207339196543943	-0.0630910919571755	-0.0563924098054813	"S01"	0.834046146449451	"IS07"
"GPR183"	"GPR183"	-0.0881663897902137	-0.137718183303312	-0.0409471719267377	-0.149187568116184	-0.183788017132021	-0.150195065830793	0.817746181470881	0.188052716732383	0.768302610576051	-0.263571513172098	-0.609857221267219	0.412360686111062	-0.0924859358606444	-0.161198934343161	"S01"	0.817746181470881	"IS07"
"WAS"	"WAS"	-0.181313846829599	-0.12428373071857	-0.190151073142389	-0.154529262131239	-0.130772299073134	0.0310908785563889	0.79794402657149	0.027833852883746	0.77998842745336	-0.273198908615259	-0.203779203709076	-0.0863521962035667	-0.239067159825631	-0.135083892077415	"S01"	0.79794402657149	"IS07"
"CEACAM21"	"CEACAM21"	0.0371507351554644	0.0153593013644879	0.0242440901150294	-0.115749711677619	-0.152659079859755	0.154966773792602	0.779672676450477	0.269127201817819	0.741079475445087	-0.131992741100599	-0.827961696010531	0.276563725354393	-0.134459155845873	-0.0702804655902191	"S01"	0.779672676450477	"IS07"
"GHRL"	"GHRL"	-0.0177612382750475	0.201538028948055	-0.329977512917887	0.114314264392599	0.0864008295678944	0.616690825598986	0.733192076215833	0.190851697411329	0.331907524106113	-0.278222134343132	-0.531251984327646	-0.0988892329553376	-0.13635765667685	0.433747726596654	"S01"	0.733192076215833	"IS07"
"TNFRSF4"	"TNFRSF4"	-0.126994273764067	0.145592259262548	-0.233920724747471	-0.0405911279031688	0.0872958614091459	-0.107512410829326	0.709063909259246	-0.184653344013049	0.537069185146259	-0.110515755512234	-0.348315756522852	0.0980434456174306	-0.182124288151957	-0.0927413834717146	"S01"	0.709063909259246	"IS07"
"SLC2A5"	"SLC2A5"	0.289769062763262	-0.0478398974611693	0.0469567656244365	-0.0310305958073279	-0.0764605471561146	-0.213744046374054	0.478054551769812	-0.0831217691075825	0.451147666407536	-0.254181846386874	-0.311014415079779	0.392471017972537	-0.114575427890558	-0.172920070304504	"S01"	0.478054551769812	"IS07"
