"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"
"XBP1"	"XBP1"	0.822326591240718	-0.569679274807803	0.296327836760154	-0.0209739502807203	-0.533766742580734	-0.157622835275174	0.0345504928931564	0.135067263896488	"IS01"	0.822326591240718
"SYTL2"	"SYTL2"	0.819626415086771	-0.584151471258977	-0.000927112323138838	0.111208032114739	-0.29585314234767	-0.456692415158451	0.572742752128548	-0.109489946152778	"IS01"	0.819626415086771
"FOXA1"	"FOXA1"	0.816326125381305	-0.384635419341098	0.426101877209666	-0.368207044834286	-0.346029273656118	0.120411624993524	-0.0890610094734871	-0.240819977190164	"IS01"	0.816326125381305
"HGD"	"HGD"	0.815352960690235	-0.14173803920598	0.201373792580418	-0.0861206234473353	-0.284881353825508	-0.0364063626754111	-0.252082585925177	-0.161628835023151	"IS01"	0.815352960690235
"CYP3A5"	"CYP3A5"	0.806126042627749	-0.500540623678625	-0.0923789012810143	0.337704725880032	0.106330052920566	-0.090249972661525	-0.166450204117376	-0.261881816437071	"IS01"	0.806126042627749
"MISP"	"MISP"	0.805163008071325	0.115464069943719	-0.190828863034859	-0.399902847244965	-0.116437613488823	-0.255390300117912	0.266070023708193	-0.123503122745638	"IS01"	0.805163008071325
"ERGIC1"	"ERGIC1"	0.802465771456414	-0.850247892798367	0.196873254148777	0.104437595850088	-0.344834083585325	-0.27702774273612	0.430932105575436	-0.0671414892397598	"IS01"	0.802465771456414
"SLC12A2"	"SLC12A2"	0.801142041863229	-0.861464702016871	0.279179582651153	0.0956849228248899	-0.304247474192963	-0.248115760763718	0.404428173688967	-0.186291316373857	"IS01"	0.801142041863229
"FAM3D"	"FAM3D"	0.796864963601576	-0.109846071028487	-0.269635423598833	0.151281880977793	0.191790218634925	0.0219704306648603	-0.371165487510304	-0.232871709649968	"IS01"	0.796864963601576
"TFF3"	"TFF3"	0.796144011293453	0.0754488915762035	0.188385079113712	-0.134575813680729	-0.368400623796409	0.0508556445384707	-0.218745685866297	-0.390477539255454	"IS01"	0.796144011293453
"FAM107B"	"FAM107B"	0.795996935533096	-0.757050951279157	-0.0904145340408245	0.473295397463825	-0.27681971231905	-0.581253299417755	0.336399481737291	0.268618342833217	"IS01"	0.795996935533096
"ENTPD5"	"ENTPD5"	0.794300913660456	-0.869535729145256	0.308089286796594	-0.00121733731902197	-0.102219369168732	-0.0871422388003721	0.132749325408894	-0.169645478232438	"IS01"	0.794300913660456
