"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"DNTT"	"DNTT"	-0.228298329323951
"RNASE11"	"RNASE11"	-0.106574335445703
"SLC2A7"	"SLC2A7"	-0.503525672992768
"OR2V1"	"OR2V1"	-0.149013789954638
"ADGRG3"	"ADGRG3"	-0.125802277642372
"CTB.96E2.2"	"CTB.96E2.2"	-0.32530000399513
"MTCH1"	"MTCH1"	1.93058093778215
"FFAR3"	"FFAR3"	0.402658226273941
"HAND2"	"HAND2"	1.46722516756833
"PHF1"	"PHF1"	0.724738020883109
"G6PC2"	"G6PC2"	-0.0483933918495827
"FZD4"	"FZD4"	-0.660177875234745
"EDDM3A"	"EDDM3A"	-0.164469586842761
"P4HTM"	"P4HTM"	0.294434382271575
"ACTA1"	"ACTA1"	-0.165273448315129
"CRISP1"	"CRISP1"	-0.0816434852365566
"CSRP3"	"CSRP3"	-0.0568542910634799
"PFKFB1"	"PFKFB1"	0.288901509932417
"CKMT2"	"CKMT2"	0.648831584624765
"NDNF"	"NDNF"	-0.323155239947261
"SYNC"	"SYNC"	0.245468906483636
"CYP17A1"	"CYP17A1"	-0.958533625580062
"SLITRK3"	"SLITRK3"	0.563751048937596
"ORM2"	"ORM2"	-0.125492866006879
"APOA1"	"APOA1"	-0.19986912701892
"CYP2E1"	"CYP2E1"	-0.262915086589258
"ZEB2"	"ZEB2"	-0.0517972025983105
"SLC29A1"	"SLC29A1"	5.69811250044035
"LRAT"	"LRAT"	-0.0233387576047586
"CFHR2"	"CFHR2"	-0.169122321342029
"C3orf70"	"C3orf70"	0.475673884342256
"WBP1"	"WBP1"	0.199431523999357
"ADGRL4"	"ADGRL4"	-0.403324802479634
"AFM"	"AFM"	-0.144068558210481
"VTN"	"VTN"	-0.275050930293003
"PLCXD3"	"PLCXD3"	-0.694750759519695
"EBF1"	"EBF1"	0.334587297475299
"XIRP2"	"XIRP2"	-0.0877415585304051
"S100B"	"S100B"	-0.279863093214693
"LMOD2"	"LMOD2"	-0.0483933918495827
"IQCA1"	"IQCA1"	-0.545274283502677
"BAG2"	"BAG2"	0.972093407213688
