"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"MS2010072023"	"MS2010072042"	"MS2010072835"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072904"	"MS2010072921"
"SLC23A1"	5.61081584452271	5.55533094191169	3.41743578330521	5.22605489194582	8.10758194924015	5.67602044914181	6.13519210568671	1.3657083449698	4.05222551026569	2.34958739530419	4.89524764614258	4.22023673983264	6.30364801065839	1.2048156981705	5.10645619960338	1.67795583059491	5.27153757516203	1.94907098843857	5.30156099565087	6.11567860941247	6.24834321443503	5.84536215546976	3.6986491483624	4.09095979745701	6.27426178803195	5.74958728143075	5.78524265069508	3.43153038566556
"MAP3K6"	5.90027186442575	5.57500947435714	4.02840469058744	5.67122995975214	4.87443117787584	5.9113445091912	5.94712813864888	5.51491970543008	6.15156678186713	5.55843790436779	4.85780303038862	5.29858867624146	6.17300655721154	5.88726781444207	5.64488466005962	6.14028736158093	5.95543941648453	6.10630749037142	5.33001783646965	5.52654622935643	6.40756478297888	5.71915005652386	4.75435971720415	5.74783290509256	6.15020285616211	6.09087597116107	6.49749750544217	6.12894737838865
"MAPK15"	4.0631512903029	2.80018809238525	4.44761552783751	5.4538105546547	7.08115896398736	4.02808669083622	3.15152508887327	4.25292147658905	3.12233152345019	2.43171263318384	3.22384540861227	4.47044833506182	5.01305639561788	3.29837389879492	5.57446716239272	5.05663538314307	3.42167284129858	3.91569382255344	2.924066068518	6.05154305622598	3.85215503104587	3.08320954950071	3.3237620878916	4.32397040818449	5.40276945215644	4.5966509088512	4.08934652728422	3.70616624478607
"GRIN3B"	3.06019513475287	5.95977487770087	2.11484685025119	2.31174431898936	12.3218160890083	5.45473920490728	1.98280519512062	3.44479049991924	1.61126921858923	2.8480457482268	1.76444908383973	2.46148305075463	4.24598256641493	2.31813197094183	2.91006180875176	3.61668920549927	3.84410189646714	1.98609613886148	1.83765459293913	3.27426847080121	2.0785307874179	1.91696151594431	3.1938909069995	3.8209539661149	3.32614188031369	2.64289037443795	3.75817380941335	3.49854412901725
"SNX26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC389607"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288257"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GIPR"	5.91435299522147	3.96536920153611	6.37533613127447	5.62697177836442	7.22443705534878	5.4454038145457	3.48581523179308	3.4411941373131	5.93941725595567	4.33024295767279	5.52072950734722	3.15327150307126	5.80634233340848	6.02771921806196	5.3737184286969	3.93868973128659	4.19313671361745	4.7241037286107	6.63757369065254	5.97219316834168	6.19775446303982	6.04214602559746	5.60726788732938	5.79292684027785	6.28218161380672	5.85562326944198	6.15878588707744	5.16988055544104
"LOC100286968"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FER1L4"	5.92154534889935	6.30398781282636	6.0401204979348	6.83442649673913	9.74330795525635	6.26674719134484	5.88281817301739	3.99072139207978	6.13785214067487	3.05838906134389	4.75912621605577	4.81539244595742	6.50273436006373	4.06117324737435	6.16048708543564	4.26291599436599	4.45924913676128	5.81517292494702	4.17766126280549	6.59221342178465	5.28909343037285	5.2725498341969	4.26279449060735	5.63235300823501	5.47656316596287	6.31353134741638	6.20133006001776	5.87725901188268
