"ID"	"CellType"
"C1811"	"Epithelial.cells"
"C32253"	"Epithelial.cells"
"C7805"	"Epithelial.cells"
"C2959"	"Epithelial.cells"
"C10376"	"Epithelial.cells"
"C31962"	"Epithelial.cells"
"C18225"	"Epithelial.cells"
"C32219"	"Epithelial.cells"
"C31615"	"Epithelial.cells"
"C1202"	"Epithelial.cells"
"C31178"	"Epithelial.cells"
"C31072"	"Epithelial.cells"
"C31748"	"Epithelial.cells"
"C6686"	"Epithelial.cells"
"C653"	"Epithelial.cells"
"C11512"	"Epithelial.cells"
"C12866"	"Epithelial.cells"
"C14884"	"Epithelial.cells"
"C14804"	"Epithelial.cells"
"C31289"	"Epithelial.cells"
"C15404"	"Epithelial.cells"
"C10629"	"Epithelial.cells"
"C15448"	"Epithelial.cells"
"C14696"	"Epithelial.cells"
"C5452"	"Epithelial.cells"
"C9751"	"Epithelial.cells"
"C6792"	"Epithelial.cells"
"C7767"	"Epithelial.cells"
"C165"	"Epithelial.cells"
"C13259"	"Epithelial.cells"
"C31445"	"Epithelial.cells"
"C14709"	"Epithelial.cells"
"C746"	"Epithelial.cells"
"C17875"	"Epithelial.cells"
"C30928"	"Epithelial.cells"
"C30700"	"Epithelial.cells"
"C9888"	"Epithelial.cells"
"C31725"	"Epithelial.cells"
"C31070"	"Epithelial.cells"
"C2328"	"Epithelial.cells"
"C14617"	"Epithelial.cells"
"C5745"	"Epithelial.cells"
"C31194"	"Epithelial.cells"
"C31711"	"Epithelial.cells"
"C31773"	"Epithelial.cells"
"C16102"	"Epithelial.cells"
"C31872"	"Epithelial.cells"
"C30848"	"Epithelial.cells"
"C11342"	"Epithelial.cells"
"C2787"	"Epithelial.cells"
"C12438"	"Epithelial.cells"
"C18861"	"Epithelial.cells"
"C671"	"Epithelial.cells"
"C12134"	"Epithelial.cells"
"C31342"	"Epithelial.cells"
"C9619"	"Epithelial.cells"
"C5974"	"Epithelial.cells"
"C31348"	"Epithelial.cells"
"C19189"	"Epithelial.cells"
"C31543"	"Epithelial.cells"
"C31706"	"Epithelial.cells"
"C12350"	"Epithelial.cells"
