Mixture	Fibroblasts	Endothelial.cells	Epithelial.cells	B.cells	CD4.T.cells	CD8.T.cells	Dendritic.cells	Mast.cells	Monocytes.and.Macrophages	NK.cells	PCs	PMNs
TCGA.60.2704.01A.11R.2045.07	0.23590994536231	0.0268459561123081	0.330704977520988	0.011634810168259	0.0796227526194906	0.0248905255453796	0.00607273511482786	0.0144126372865734	0.209029253714463	0.00634816317439102	0.0471711242581275	0.00735711912288158
TCGA.60.2712.01A.01R.0851.07	0.155347759257892	0.0203474209451688	0.324588931392737	0.0153809735636286	0.106649144704853	0.053775545121072	0.00135713127223262	0.0041310601993487	0.221689265355603	0.00700323081478413	0.0896909267235966	3.86106490829122e-05
TCGA.60.2719.01A.01R.0851.07	0.0302320012337152	0.00699799501209374	0.794177691257085	0.00336074843545461	0.0291179075370301	0.0161007976841883	0.00298964827072067	0.0029558896455814	0.0905574325509382	0.00595068691352685	0.0165546371357196	0.00100456432394601
TCGA.60.2721.01A.01R.0851.07	0.219486599412988	0	0.471100378645987	0.00283664408769532	0.0584954023282103	0.0639417005513493	0.00719199847930021	0.0149651197664343	0.110755028304915	0.00995819070938599	0.0397319521355686	0.00153698557816528
TCGA.62.8394.01A.11R.2326.07	0.0581377121045903	0.0225918795995887	0.722559136740458	0.00466013279327903	0.0346234461288379	0.0139318653138074	0.00999722666411089	0.00709748403031072	0.111102294275476	0.00664381818891977	0.00772072286609969	0.000934281294521152
TCGA.62.8398.01A.11R.2326.07	0.0926253681022833	0.00836883198076302	0.677223592925905	0.00472301637021082	0.049475811550731	0.0159936814567899	0.00383104389432164	0.00812645003571358	0.111838043946971	0.0114599993503267	0.0151183034693572	0.00121585691662696
TCGA.62.A470.01A.11R.A24H.07	0.0119654990282226	0.00735250258302136	0.831383207202403	0.00241191944930658	0.0153503456063594	0.0117639628070726	0.00718629046531896	0.00533951060141595	0.0916672656186614	0.00378976575728537	0.0097523222941006	0.00203740858683258
TCGA.63.5128.01A.01R.1443.07	0.0762222249566216	0.0117724234216671	0.857210647611427	0.00071813674470486	0.00959915600801676	0.0024901797897158	0.00430135796222215	0.0022076462771601	0.0258542155692668	0.00373681368091193	0.00469448594114528	0.00119271203714075
TCGA.63.5131.01A.01R.1443.07	0.0517725499122177	0.0217336656473793	0.752903027189826	0.00254714429725989	0.0328356742861689	0.0131768170405265	0.0250035078886461	0.00723963310977534	0.0617385254678017	0.00688855357462842	0.0111351994177542	0.013025702168016
TCGA.63.6202.01A.11R.1820.07	0.109788008522953	0.0197449740205412	0.432537000109672	0.0121373384248355	0.0877269519416564	0.0739495653562779	0.017987507662629	0.013941215104903	0.189993923872818	0.0237733996655019	0.0117508524868379	0.00666926283137446
TCGA.63.7023.01A.11R.1949.07	0.0543158128790408	0.0108756782325492	0.704936368197317	0.00454876266491197	0.0431835849993005	0.0374225850207497	0.0123912630016156	0.00485329645758516	0.0886385833960601	0.0120421810657475	0.0257891139056995	0.00100277017942297
TCGA.63.A5MB.01A.11R.A26W.07	0.03937141089641	0.00983461470349966	0.760044527690352	0.0074679563541469	0.0277536100426402	0.0297429408612472	0.00343841084421846	0.00416888495511226	0.0991875547659472	0.0106438838257072	0.00834620506071887	0
TCGA.63.A5MI.01A.12R.A27Q.07	0.0642636590754293	0	0.882432051076192	0.00176326969250635	0.0085474557989146	0.0038593025676975	0.00252658509821484	0.0038165321235821	0.0189270972622785	0.00158320934360791	0.0111326714141346	0.0011481665474427
TCGA.63.A5ML.01A.31R.A27Q.07	0.0746453312153928	0.0226867929972525	0.67198690673671	0.0028303239448888	0.0287691120406424	0.0392684883647844	0.000720612649155757	0.0104068002602261	0.128016847290016	0.0129162278491997	0.00639806110470868	0.00135449554702262
TCGA.63.A5MM.01A.11R.A26W.07	0.157706012691325	0.0355569744633126	0.405246497535067	0.00421694842200747	0.0765591567518766	0.0447278721325001	0.010241373202382	0.0122543211962346	0.2051618655848	0.0267447764189962	0.0140886732650876	0.00749552833641114
TCGA.63.A5MT.01A.21R.A26W.07	0.173743821376367	0.0229190990279066	0.51635809653124	0.00931004967478163	0.0370398476454916	0.00644625785492389	0.000287765653049782	0.00274680972560479	0.196474233675644	0.00986957532535628	0.0207117265087679	0.00409271700086622
TCGA.63.A5MU.01A.11R.A26W.07	0.0146628476231763	0.00186681569519953	0.927407992625138	0.00164335487063102	0.0108374460201813	0.00261553956811321	0.00361718742019084	0.00990129080415016	0.0147057613543787	0.00184633864886408	0.0101901569787742	0.00070526839120323
TCGA.63.A5MW.01A.11R.A26W.07	0.401307043256302	0.00841194902117765	0.451495350814817	0.000875547605434143	0.018590565235388	0.0215355343508478	0.0053959240304153	0.00753730855767414	0.0621069991342888	0.00927736942396671	0.0131071030426886	0.00035930552700017
TCGA.64.1679.01A.21R.2066.07	0.2689970171141	0.00918958963352286	0.43625816227339	0.00253386705999101	0.0292568046977761	0.00721506341292637	0.0256770691397338	0.0152933440470702	0.171388922816555	0.0021999413953871	0.0256167131682494	0.00637350524129804
TCGA.64.5774.01A.01R.1628.07	0.0804813363246373	0.00215760949391399	0.812922526407703	0.00377657095707593	0.0236951889511881	0.00855927400582213	0.00124149079446487	0.00229477610415102	0.0337408521209276	0.00622525269563611	0.0235567642157715	0.00134835792870883
TCGA.64.5775.01A.01R.1628.07	0.224356390168419	0.0431115040750833	0.187673897345086	0.00393281513505934	0.0605877952685579	0.0253286061997845	0.00105709404907855	0.0279087926529505	0.378933836024792	0.0256383757856429	0.0155365887710974	0.0059343045244483
TCGA.64.5815.01A.01R.1628.07	0.317591604099472	0.0139981572954656	0.384861646000209	0.00202554568899346	0.0485556752020849	0.00950702544976096	0.0241315054390471	0.00911698557139342	0.164469567274612	0.00297752102695101	0.0204382636364406	0.00232650331557013
TCGA.66.2734.01A.01R.0980.07	0.125797893733878	0.0182687776273731	0.513153488775047	0.00734324803307662	0.0278707811711488	0.0115895076641769	0.03187948784022	0.0099157191748604	0.178552270684979	0.0137500697365051	0.00318968101414486	0.0586890745445903
TCGA.66.2756.01A.01R.0851.07	0.0876878273366854	0.00388875404545685	0.687814716008705	0.00248259014164082	0.0485998591662605	0.0188758351548484	0.00443694028799386	0.00354273400791252	0.0913115872794728	0.00871298579682841	0.0411458943209985	0.0015002764531973
TCGA.66.2759.01A.01R.0851.07	0.0995250988049606	0.0134815846226535	0.596152154960641	0.00995592757971532	0.0358611437596556	0.0279613124554586	0.0061976064375402	0.00674521408123261	0.159736117080519	0.00797528533111503	0.0317724535829347	0.00463610130357368
TCGA.66.2767.01A.01R.0851.07	0.050636547667934	0.0245109053017686	0.484457906919663	0.0188070796376739	0.0730418350729369	0.0731872273865692	0.0123518869220355	0.0175428263665299	0.18157326410528	0.0179463417194501	0.0435432287765699	0.00240095012358967
TCGA.66.2768.01A.01R.0851.07	0.0234250098128837	0.0179799448108658	0.647758122419256	0.00330493615980238	0.0381870016107332	0.0268063752129827	0.021646648253803	0.0202253223492304	0.17283899658226	0.0159821255218097	0.00332698826669778	0.00851852899967539
TCGA.66.2781.01A.01R.0851.07	0.109238768523157	0.0205662799574435	0.615884703498949	0.00802164947784334	0.0239070429908377	0.019853954680807	0.0147739823875987	0.0162732843445297	0.071240140722008	0.00566035980208004	0.0677480911856842	0.0268317424290626
TCGA.66.2786.01A.01R.0851.07	0.0387568847466412	0.00875442014173392	0.736186372245541	0.0030977422596528	0.031975901065142	0.0274275285139774	0.0114413567345898	0.00972134745552566	0.0988264872717755	0.00756497408127916	0.0233130890424001	0.00293389644174131
TCGA.66.2788.01A.01R.0980.07	0.235702835006191	0.018144247348508	0.439813365776981	0.000494589807102419	0.0488830801191018	0.0338200978416312	0.00215454084092995	0.00545517188064305	0.12912822571635	0.00873957505825128	0.066589300629524	0.0110749699747862
