"ID"	"CellType"	"Tissue"
"Cell_603"	"B.cells"	"Tumor"
"Cell_604"	"B.cells"	"Tumor"
"Cell_605"	"B.cells"	"Normal"
"Cell_606"	"B.cells"	"Normal"
"Cell_607"	"B.cells"	"Tumor"
"Cell_608"	"B.cells"	"Normal"
"Cell_609"	"B.cells"	"Tumor"
"Cell_610"	"B.cells"	"Tumor"
"Cell_611"	"B.cells"	"Normal"
"Cell_612"	"B.cells"	"Tumor"
"Cell_613"	"B.cells"	"Tumor"
"Cell_614"	"B.cells"	"Tumor"
"Cell_615"	"B.cells"	"Normal"
"Cell_616"	"B.cells"	"Normal"
"Cell_617"	"B.cells"	"Tumor"
"Cell_618"	"B.cells"	"Tumor"
"Cell_619"	"B.cells"	"Tumor"
"Cell_620"	"B.cells"	"Tumor"
"Cell_621"	"B.cells"	"Tumor"
"Cell_622"	"B.cells"	"Tumor"
"Cell_623"	"B.cells"	"Tumor"
"Cell_624"	"B.cells"	"Tumor"
"Cell_625"	"B.cells"	"Tumor"
"Cell_626"	"B.cells"	"Normal"
"Cell_627"	"B.cells"	"Normal"
"Cell_628"	"B.cells"	"Tumor"
"Cell_629"	"B.cells"	"Normal"
"Cell_630"	"B.cells"	"Tumor"
"Cell_631"	"B.cells"	"Tumor"
"Cell_632"	"B.cells"	"Tumor"
"Cell_633"	"B.cells"	"Tumor"
"Cell_634"	"B.cells"	"Tumor"
"Cell_635"	"B.cells"	"Tumor"
"Cell_636"	"B.cells"	"Tumor"
"Cell_637"	"B.cells"	"Tumor"
"Cell_638"	"B.cells"	"Tumor"
"Cell_639"	"B.cells"	"Tumor"
